id,carnegie_basic,carnegie_undergrad,carnegie_size_setting,minority_serving_historically_black,minority_serving_predominantly_black,minority_serving_annh,minority_serving_tribal,minority_serving_aanipi,minority_serving_hispanic,minority_serving_nant,men_only,women_only,religious_affiliation,admission_rate_overall,admission_rate_by_ope_id,attendance_academic_year,attendance_program_year,tuition_in_state,tuition_out_of_state,tuition_program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt
100654,18,10,14,1,0,0,0,0,0,0,0,0,,0.9027,0.902671312,22886,,9857,18236,,9227,7298,6983,0.7128,0.71,0.2396,
100663,15,9,15,0,0,0,0,0,0,0,0,0,,0.9181,0.918067505,24129,,8328,19032,,11612,17235,10640,0.8993,0.3532,0.5292,
100690,20,5,6,0,0,0,0,0,0,0,0,0,74,,,15080,,6900,6900,,14738,5265,3866,1,0.7415,0.1818,
100706,16,15,12,0,0,0,0,0,0,0,0,0,,0.8123,0.812303547,22108,,10280,21480,,8727,9748,9391,0.6457,0.2765,0.4862,
100724,19,10,14,1,0,0,0,0,0,0,0,0,,0.9787,0.97866121,19413,,11068,19396,,9003,7983,7399,0.5416,0.7377,0.2769,
100751,15,14,16,0,0,0,0,0,0,0,0,0,,0.533,0.53295392,28836,,10780,28100,,13574,10894,10016,0.7404,0.18,0.6787,
100760,2,2,2,0,0,0,0,0,0,0,0,0,,,,10045,,4440,8010,,1580,6738,5896,0.4486,0.4792,,0.2784
100812,22,5,9,0,0,0,0,0,0,0,0,0,,,,,,,,,6713,8017,8268,0.4265,0.4456,,
100830,18,9,13,0,0,0,0,0,0,0,0,0,,0.8254,0.825383994,19892,,8020,17140,,8709,7487,7518,0.9735,0.4416,0.2765,
100858,15,14,15,0,0,0,0,0,0,0,0,0,,0.8393,0.839309429,30458,,10968,29640,,15479,12067,10137,0.855,0.1489,0.7658,
100937,21,14,11,0,0,0,0,0,0,0,0,0,71,0.6186,0.618601016,50400,,35804,35804,,10088,10267,7774,0.662,0.1917,0.6606,
101028,1,2,2,0,1,0,0,0,0,0,0,0,,,,6854,,4314,7884,,2035,4467,5961,0.3832,0.538,,0.1958
101073,23,10,8,1,0,0,0,0,0,0,0,0,68,,,27620,,10320,10320,,5301,10910,5409,0.3968,0.8559,0.1513,
101116,20,7,6,0,0,0,0,0,0,0,0,0,,,,26613,,17014,17014,,16005,8419,4830,0.1852,0.7208,0.1915,
101143,5,2,2,0,0,0,0,0,0,0,0,0,,,,9289,,4440,8010,,2606,6309,6337,0.45,0.412,,0.193
101161,5,2,4,0,0,0,0,0,0,0,0,0,,,,12558,,4380,7890,,1949,4029,5932,0.474,0.4009,,0.1432
101189,19,7,10,0,1,0,0,0,0,0,0,0,74,0.5101,0.51006424,31720,,20970,20970,,11037,5089,5702,0.4787,0.5091,0.2801,
101240,7,2,3,1,0,0,0,0,0,0,0,0,,,,9701,,3600,6456,,1789,6434,6236,0.4746,0.4999,,0.1983
101277,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,,13543,,,10050,7119,4028,,,0.8136,,0.8391
101286,7,2,3,0,0,0,0,0,0,0,0,0,,,,9298,,4380,7950,,2313,5319,5866,0.5852,0.5113,,0.2374
101295,7,2,3,0,0,0,0,0,0,0,0,0,,,,11408,,3726,6582,,2962,5107,5790,0.3457,0.4567,,0.3955
101301,5,2,2,0,1,0,0,0,0,0,0,0,,,,14571,,4140,7710,,1279,3793,4775,0.576,0.6887,,0.2219
101365,23,5,6,0,1,0,0,0,0,0,0,0,,0.757,0.79408284,27797,,13850,13850,,10525,4518,5360,0.4286,0.6154,0.44,
101435,22,8,7,0,0,0,0,0,0,0,0,0,71,0.5598,0.55978785,34675,,26400,26400,,11118,7073,6851,0.5619,0.4312,0.3672,
101453,24,5,6,0,0,0,0,0,0,0,0,0,74,1,1,,,11232,11232,,10311,10291,4812,1,0.6,0.25,
101462,7,2,1,1,0,0,0,0,0,0,0,0,,,,11514,,4410,7980,,1785,5018,5981,1,0.6526,,0.1448
101471,-2,-2,-2,0,0,0,0,0,0,0,0,0,,,,5496,,4968,4968,,32,11543,5623,1,0.1323,,0.4286
