id,ope8_id,ope6_id,name,city,state,zip,accreditor,school_url,price_calculator_url,main_campus,branches,region_id
100654,100200,1002,Alabama A & M University,Normal,15,35762,Southern Association of Colleges and Schools Commission on Colleges,www.aamu.edu/,https://galileo.aamu.edu/NetPriceCalculator/npcalc.htm,1,1,5
100663,105200,1052,University of Alabama at Birmingham,Birmingham,15,35294,Southern Association of Colleges and Schools Commission on Colleges,www.uab.edu,uab.studentaidcalculator.com/survey.aspx,1,1,5
100690,2503400,25034,Amridge University,Montgomery,15,36117,Southern Association of Colleges and Schools Commission on Colleges,www.amridgeuniversity.edu,www2.amridgeuniversity.edu:9091/,1,1,5
100706,105500,1055,University of Alabama in Huntsville,Huntsville,15,35899,Southern Association of Colleges and Schools Commission on Colleges,www.uah.edu,finaid.uah.edu/,1,1,5
100724,100500,1005,Alabama State University,Montgomery,15,36104,Southern Association of Colleges and Schools Commission on Colleges,www.alasu.edu,www.alasu.edu/cost-aid/forms/calculator/index.aspx,1,1,5
100751,105100,1051,The University of Alabama,Tuscaloosa,15,35487,Southern Association of Colleges and Schools Commission on Colleges,www.ua.edu/,financialaid.ua.edu/net-price-calculator/,1,1,5
100760,100700,1007,Central Alabama Community College,Alexander City,15,35010,Southern Association of Colleges and Schools Commission on Colleges,www.cacc.edu,https://www.cacc.edu/net-price-calculator/,1,1,5
100812,100800,1008,Athens State University,Athens,15,35611,Southern Association of Colleges and Schools Commission on Colleges,www.athens.edu,https://24.athens.edu/apex/prod8/f?p=174:1:3941357449598491,1,1,5
100830,831000,8310,Auburn University at Montgomery,Montgomery,15,36117,Southern Association of Colleges and Schools Commission on Colleges,www.aum.edu,www.aum.edu/current-students/financial-information/net-price-calculator,1,1,5
100858,100900,1009,Auburn University,Auburn,15,36849,Southern Association of Colleges and Schools Commission on Colleges,www.auburn.edu,https://www.auburn.edu/admissions/costcalc/freshman.html,1,1,5
100937,101200,1012,Birmingham Southern College,Birmingham,15,35254,Southern Association of Colleges and Schools Commission on Colleges,www.bsc.edu/,www.bsc.edu/fp/np-calculator.cfm,1,1,5
101028,1218200,12182,Chattahoochee Valley Community College,Phenix City,15,36869,Southern Association of Colleges and Schools Commission on Colleges,www.cv.edu,www.cv.edu/about/consumer-information/,1,1,5
101073,1055400,10554,Concordia College Alabama,Selma,15,36701,,www.ccal.edu/,www.ccal.edu/admissions/net-pricing-calculator/,1,1,5
101116,1303906,13039,South University-Montgomery,Montgomery,15,36116,Southern Association of Colleges and Schools Commission on Colleges,"www.southuniversity.edu/montgomery#location=Montgomery,%20AL",www.southuniversity.edu/montgomery/net-price-calculator,0,15,5
101143,101500,1015,Enterprise State Community College,Enterprise,15,36330,Southern Association of Colleges and Schools Commission on Colleges,www.escc.edu,https://www.escc.edu/netprice/npcalc.htm,1,1,5
101161,106000,1060,Coastal Alabama Community College,Bay Minette,15,36507,Southern Association of Colleges and Schools Commission on Colleges,www.coastalalabama.edu,www.coastalalabama.edu,1,3,5
101189,100300,1003,Faulkner University,Montgomery,15,36109,Southern Association of Colleges and Schools Commission on Colleges,www.faulkner.edu,www.faulkner.edu/net-price-calculator-form/,1,1,5
101240,101700,1017,Gadsden State Community College,Gadsden,15,35903,Southern Association of Colleges and Schools Commission on Colleges,www.gadsdenstate.edu,www.gadsdenstate.edu/net-price-calculator,1,1,5
101277,4187200,41872,New Beginning College of Cosmetology,Albertville,15,35951,National Accrediting Commission of Career Arts and Sciences,www.nbccosmetology.com,nbccosmetology.com/sa/nbc_zonemap/,1,1,5
101286,101800,1018,George C Wallace Community College-Dothan,Dothan,15,36303,Southern Association of Colleges and Schools Commission on Colleges,www.wallace.edu,www.wallace.edu/net_price_calculator.aspx,1,1,5
101295,787100,7871,George C Wallace State Community College-Hanceville,Hanceville,15,35077,Southern Association of Colleges and Schools Commission on Colleges,www.wallacestate.edu,www.wallacestate.edu/Financial-Aid/Net-Price-Calculator,1,1,5
101301,569900,5699,George C Wallace State Community College-Selma,Selma,15,36703,Southern Association of Colleges and Schools Commission on Colleges,www.wccs.edu,www.wccs.edu/financial-aid/about-financial-aid/,1,1,5
101365,962107,9621,Herzing University-Birmingham,Birmingham,15,35209,Higher Learning Commission,https://www.herzing.edu/,https://www.herzing.edu/tuition-financial-aid/net-price-calculator,0,11,5
101435,101900,1019,Huntingdon College,Montgomery,15,36106,Southern Association of Colleges and Schools Commission on Colleges,www.huntingdon.edu,hawk.huntingdon.edu/oiac/netpricecalculator/npcalc.htm,1,1,5
101453,2199700,21997,Heritage Christian University,Florence,15,35630,Association for Bibical Higher Educaiton,www.hcu.edu,www.hcu.edu/netpricecalculator/,1,1,5
101462,526000,5260,J. F. Drake State Community and Technical College,Huntsville,15,35811,Southern Association of Colleges and Schools Commission on Colleges,www.drakestate.edu,www.drakestate.edu/admissions/net_price_calculator.aspx,1,1,5
101471,3002500,30025,J F Ingram State Technical College,Deatsville,15,36022,Council on Occupational Education,www.istc.edu,nces.ed.gov/ipeds/netpricecalculator/Npc_2.aspx,1,1,5
101480,102000,1020,Jacksonville State University,Jacksonville,15,36265,Southern Association of Colleges and Schools Commission on Colleges,www.jsu.edu/,www.jsu.edu/finaid/,1,1,5
101499,106010,1060,Jefferson Davis Community College,Brewton,15,36426,Southern Association of Colleges and Schools Commission on Colleges,www.coastalalabama.edu,www.coastalalabama.edu,0,3,5
101505,102200,1022,Jefferson State Community College,Birmingham,15,35215,Southern Association of Colleges and Schools Commission on Colleges,www.jeffersonstate.edu/,www.jeffersonstate.edu/financial-aid/net-price-calculator/,1,1,5
101514,101300,1013,John C Calhoun State Community College,Tanner,15,35671,Southern Association of Colleges and Schools Commission on Colleges,https://calhoun.edu/,https://calhoun.edu/student-services/financial-aid/net-price-calculator/,1,1,5
101541,102300,1023,Judson College,Marion,15,36756,Southern Association of Colleges and Schools Commission on Colleges,www.judson.edu,www.judson.edu,1,1,5
101569,105900,1059,Lawson State Community College,Birmingham,15,35221,Southern Association of Colleges and Schools Commission on Colleges,www.lawsonstate.edu,www.lawsonstate.edu/disclosure_and_consumer_information/general_institutional_information/net_price_calculator.aspx,1,1,5
101587,102400,1024,University of West Alabama,Livingston,15,35470,Southern Association of Colleges and Schools Commission on Colleges,www.uwa.edu,secure.uwa.edu/calculator/npcalc.htm,1,1,5
101602,898800,8988,Lurleen B Wallace Community College,Andalusia,15,36420,Southern Association of Colleges and Schools Commission on Colleges,https://www.lbwcc.edu,https://www.lbwcc.edu/financial-aid/net-price-calculator,1,1,5
101648,102600,1026,Marion Military Institute,Marion,15,36756,Southern Association of Colleges and Schools Commission on Colleges,www.marionmilitary.edu,marionmilitary.edu/calculator/,1,1,5
101675,102800,1028,Miles College,Fairfield,15,35064,Southern Association of Colleges and Schools Commission on Colleges,www.miles.edu,https://miles.studentaidcalculator.com/survey.aspx,1,1,5
101693,102900,1029,University of Mobile,Mobile,15,36613,Southern Association of Colleges and Schools Commission on Colleges,www.umobile.edu,umobile.edu/financial-aid/cost-calculator/,1,1,5
101709,100400,1004,University of Montevallo,Montevallo,15,35115,Southern Association of Colleges and Schools Commission on Colleges,www.montevallo.edu,https://www.montevallo.edu/NetPriceCalculator/,1,1,5
101736,569700,5697,Northwest-Shoals Community College,Muscle Shoals,15,35661,Southern Association of Colleges and Schools Commission on Colleges,https://www.nwscc.edu,www.nwscc.edu/about-nw-scc/college-departments/student-services/financial-aid/future-students-financial-aid-calculator,1,1,5
101879,101600,1016,University of North Alabama,Florence,15,35632,Southern Association of Colleges and Schools Commission on Colleges,www.una.edu,studentnpc.collegeboard.org/,1,1,5
101897,103100,1031,Northeast Alabama Community College,Rainsville,15,35986,Southern Association of Colleges and Schools Commission on Colleges,https://www.nacc.edu,https://www.nacc.edu/Content/Uploads/nacc.edu/files/Financial%20Aid/npcalc_2017.htm,1,1,5
101912,103300,1033,Oakwood University,Huntsville,15,35896,Southern Association of Colleges and Schools Commission on Colleges,https://www2.oakwood.edu,https://oakwood.studentaidcalculator.com,1,1,5
101949,106006,1060,Alabama Southern Community College,Monroeville,15,36460,Southern Association of Colleges and Schools Commission on Colleges,www.coastalalabama.edu,www.coastalalabama.edu,0,3,5
101994,569200,5692,Reid State Technical College,Evergreen,15,36401,Council on Occupational Education,www.rstc.edu,www.rstc.edu,1,1,5
102030,103000,1030,Bishop State Community College,Mobile,15,36603,Southern Association of Colleges and Schools Commission on Colleges,www.bishop.edu,https://www.bishop.edu/calculator/npcalc.htm,1,1,5
102049,103600,1036,Samford University,Birmingham,15,35229,Southern Association of Colleges and Schools Commission on Colleges,www.samford.edu,https://samford.studentaidcalculator.com/survey.aspx,1,1,5
102058,4067300,40673,Selma University,Selma,15,36701,Association for Bibical Higher Educaiton,selmauniversity.edu,selmauniversity.edu/NetPriceCalculator/npcalc.htm,1,1,5
102067,569100,5691,Shelton State Community College,Tuscaloosa,15,35405,Southern Association of Colleges and Schools Commission on Colleges,www.sheltonstate.edu,apps.sheltonstate.edu/netpricecalculator/npcalc.htm,1,1,5
102076,103800,1038,Snead State Community College,Boaz,15,35957,Southern Association of Colleges and Schools Commission on Colleges,www.snead.edu,www.snead.edu/financial_aid/net_price_calculator.aspx,1,1,5
102094,105700,1057,University of South Alabama,Mobile,15,36688,Southern Association of Colleges and Schools Commission on Colleges,www.southalabama.edu,usadev.southalabama.edu/npc/,1,1,5
102234,104100,1041,Spring Hill College,Mobile,15,36608,Southern Association of Colleges and Schools Commission on Colleges,www.shc.edu,https://shc.studentaidcalculator.com/survey.aspx,1,1,5
102270,104400,1044,Stillman College,Tuscaloosa,15,35401,Southern Association of Colleges and Schools Commission on Colleges,https://stillman.edu,https://stillman.edu/admissions/cost-of-attendance/,1,1,5
102298,104600,1046,Talladega College,Talladega,15,35160,Southern Association of Colleges and Schools Commission on Colleges,www.talladega.edu,www.talladega.edu/netcalc/npcalc.htm,1,1,5
102313,573400,5734,H Councill Trenholm State Community College,Montgomery,15,36108,Southern Association of Colleges and Schools Commission on Colleges,www.trenholmstate.edu,www.trenholmstate.edu,1,1,5
102368,104700,1047,Troy University,Troy,15,36082,Southern Association of Colleges and Schools Commission on Colleges,www.troy.edu,www.troy.edu/admissions/net-price-calculator.html,1,4,5
102377,105000,1050,Tuskegee University,Tuskegee,15,36088,Southern Association of Colleges and Schools Commission on Colleges,www.tuskegee.edu,www.tuskegee.edu,1,1,5
102395,2170600,21706,United States Sports Academy,Daphne,15,36526,Southern Association of Colleges and Schools Commission on Colleges,www.ussa.edu,https://ussa.edu/admissions/consumer-information/net-price-calculator/,1,1,5
102429,573300,5733,Bevill State Community College,Jasper,15,35501,Southern Association of Colleges and Schools Commission on Colleges,www.bscc.edu,www.bscc.edu/students/financial-aid/net-cost-calculator,1,1,5
102553,1146200,11462,University of Alaska Anchorage,Anchorage,56,99508,Northwest Commission on Colleges and Universities,www.uaa.alaska.edu,www.uaa.alaska.edu/financialaid/customcf/npcalc.htm,1,1,8
102580,884300,8843,Alaska Bible College,Palmer,56,99645,Association for Bibical Higher Educaiton,www.akbible.edu/,www.akbible.edu/admissions/tuition-aid/net-price-calculator/,1,1,8
102614,106300,1063,University of Alaska Fairbanks,Fairbanks,56,99775,Northwest Commission on Colleges and Universities,www.uaf.edu,www.uaf.edu/finaid/net-price-calculator/,1,1,8
102632,106500,1065,University of Alaska Southeast,Juneau,56,99801,Northwest Commission on Colleges and Universities,www.uas.alaska.edu,www.uas.alaska.edu/financial_aid/costs/npcalc.htm,1,1,8
102669,106100,1061,Alaska Pacific University,Anchorage,56,99508,Northwest Commission on Colleges and Universities,www.alaskapacific.edu,https://npc.collegeboard.org/student/app/alaskapacific,1,1,8
102711,3160300,31603,AVTEC-Alaska's Institute of Technology,Seward,56,99664,Council on Occupational Education,www.avtec.edu/,www.avtec.edu/book-page/net-price-calculator,1,1,8
102845,2576900,25769,Charter College,Vancouver,49,98683,Accrediting Bureau of Health Education Schools,www.chartercollege.edu,chartercollege.studentaidcalculator.com/survey.aspx,1,1,8
103501,2541000,25410,Alaska Career College,Anchorage,56,99507,Accrediting Commission of Career Schools and Colleges,www.alaskacareercollege.edu,www.alaskacareercollege.edu,1,1,8
103741,966403,9664,Empire Beauty School-Tucson,Tucson,18,85716,National Accrediting Commission of Career Arts and Sciences,www.empire.edu,www.empire.edu/net-price-calculator,0,11,6
103778,108160,1081,Thunderbird School of Global Management,Glendale,18,85306,,https://thunderbird.asu.edu/,https://students.asu.edu/financialaid/net-price,0,10,6
103811,2317800,23178,American Institute of Trucking,Phoenix,18,85043,,www.ait-schools.com,www.ait-schools.com,1,1,6
103893,2100600,21006,Carrington College-Phoenix North,Phoenix,18,85051,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,https://carrington.edu/,https://carrington.edu/financial-aid/how-much-will-it-cost/,1,6,6
103909,2100611,21006,Carrington College-Mesa,Mesa,18,85210,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,https://carrington.edu/,https://carrington.edu/financial-aid/how-much-will-it-cost/,0,6,6
