zip,type,city,state,county,timezone,world_region,country,latitude,longitude,irs_estimated_population_2015
501,UNIQUE,Holtsville,19,Suffolk County,America/New_York,,US,40.81,-73.04,562
544,UNIQUE,Holtsville,19,Suffolk County,America/New_York,,US,40.81,-73.04,0
601,STANDARD,Adjuntas,38,Adjuntas Municipio,America/Puerto_Rico,,US,18.16,-66.72,0
602,STANDARD,Aguada,38,Aguada Municipio,America/Puerto_Rico,,US,18.38,-67.18,0
603,STANDARD,Aguadilla,38,Aguadilla Municipio,America/Puerto_Rico,,US,18.43,-67.15,0
604,PO BOX,Aguadilla,38,,America/Puerto_Rico,,US,18.43,-67.15,0
605,PO BOX,Aguadilla,38,,America/Puerto_Rico,,US,18.43,-67.15,0
606,STANDARD,Maricao,38,Maricao Municipio,America/Puerto_Rico,,US,18.18,-66.98,0
610,STANDARD,Anasco,38,Anasco Municipio,America/Puerto_Rico,,US,18.28,-67.14,0
611,PO BOX,Angeles,38,,America/Puerto_Rico,,US,18.28,-66.79,0
612,STANDARD,Arecibo,38,Arecibo Municipio,America/Puerto_Rico,,US,18.45,-66.73,0
613,PO BOX,Arecibo,38,,America/Puerto_Rico,,US,18.45,-66.73,0
614,PO BOX,Arecibo,38,,America/Puerto_Rico,,US,18.45,-66.73,0
616,STANDARD,Bajadero,38,Arecibo Municipio,America/Puerto_Rico,,US,18.42,-66.67,0
617,STANDARD,Barceloneta,38,Barceloneta Municipio,America/Puerto_Rico,,US,18.45,-66.56,0
622,STANDARD,Boqueron,38,Cabo Rojo Municipio,America/Puerto_Rico,,US,17.99,-67.15,0
623,STANDARD,Cabo Rojo,38,Cabo Rojo Municipio,America/Puerto_Rico,,US,18.08,-67.14,0
624,STANDARD,Penuelas,38,Penuelas Municipio,America/Puerto_Rico,,US,18.06,-66.72,0
627,STANDARD,Camuy,38,Camuy Municipio,America/Puerto_Rico,,US,18.48,-66.84,0
631,PO BOX,Castaner,38,Lares Municipio,America/Puerto_Rico,,US,18.19,-66.82,0
636,PO BOX,Rosario,38,,America/Puerto_Rico,,US,18.15,-67.06,0
637,STANDARD,Sabana Grande,38,Sabana Grande Municipio,America/Puerto_Rico,,US,18.08,-66.96,0
638,STANDARD,Ciales,38,Ciales Municipio,America/Puerto_Rico,,US,18.33,-66.47,0
641,STANDARD,Utuado,38,Utuado Municipio,America/Puerto_Rico,,US,18.27,-66.7,0
646,STANDARD,Dorado,38,Dorado Municipio,America/Puerto_Rico,,US,18.47,-66.27,0
647,STANDARD,Ensenada,38,Guanica Municipio,America/Puerto_Rico,,US,17.96,-66.94,0
650,STANDARD,Florida,38,Florida Municipio,America/Puerto_Rico,,US,18.36,-66.56,0
652,STANDARD,Garrochales,38,Arecibo Municipio,America/Puerto_Rico,,US,18.45,-66.6,0
653,STANDARD,Guanica,38,Guanica Municipio,America/Puerto_Rico,,US,17.99,-66.89,0
656,STANDARD,Guayanilla,38,Guayanilla Municipio,America/Puerto_Rico,,US,18.02,-66.79,0
659,STANDARD,Hatillo,38,Hatillo Municipio,America/Puerto_Rico,,US,18.48,-66.82,0
660,STANDARD,Hormigueros,38,Hormigueros Municipio,America/Puerto_Rico,,US,18.14,-67.12,0
662,STANDARD,Isabela,38,Isabela Municipio,America/Puerto_Rico,,US,18.5,-67.02,0
664,STANDARD,Jayuya,38,Jayuya Municipio,America/Puerto_Rico,,US,18.22,-66.59,0
667,STANDARD,Lajas,38,Lajas Municipio,America/Puerto_Rico,,US,18.04,-67.06,0
669,STANDARD,Lares,38,Lares Municipio,America/Puerto_Rico,,US,18.29,-66.88,0
670,STANDARD,Las Marias,38,Las Marias Municipio,America/Puerto_Rico,,US,18.27,-67.06,0
674,STANDARD,Manati,38,Manati Municipio,America/Puerto_Rico,,US,18.43,-66.48,0
676,STANDARD,Moca,38,Moca Municipio,America/Puerto_Rico,,US,18.39,-67.11,0
677,STANDARD,Rincon,38,Rincon Municipio,America/Puerto_Rico,,US,18.34,-67.25,0
678,STANDARD,Quebradillas,38,Quebradillas Municipio,America/Puerto_Rico,,US,18.47,-66.93,0
680,STANDARD,Mayaguez,38,Mayaguez Municipio,America/Puerto_Rico,,US,18.2,-67.14,0
681,PO BOX,Mayaguez,38,,America/Puerto_Rico,,US,18.2,-67.14,0
682,STANDARD,Mayaguez,38,Mayaguez Municipio,America/Puerto_Rico,,US,18.22,-67.16,0
683,STANDARD,San German,38,San German Municipio,America/Puerto_Rico,,US,18.08,-67.04,0
685,STANDARD,San Sebastian,38,San Sebastian Municipio,America/Puerto_Rico,,US,18.33,-66.99,0
687,STANDARD,Morovis,38,Morovis Municipio,America/Puerto_Rico,,US,18.32,-66.4,0
688,STANDARD,Sabana Hoyos,38,Arecibo Municipio,America/Puerto_Rico,,US,18.38,-66.62,0
690,STANDARD,San Antonio,38,Aguadilla Municipio,America/Puerto_Rico,,US,18.49,-67.09,0
692,STANDARD,Vega Alta,38,Vega Alta Municipio,America/Puerto_Rico,,US,18.41,-66.32,0
693,STANDARD,Vega Baja,38,Vega Baja Municipio,America/Puerto_Rico,,US,18.44,-66.39,0
694,PO BOX,Vega Baja,38,Vega Baja Municipio,America/Puerto_Rico,,US,18.48,-66.39,0
698,STANDARD,Yauco,38,Yauco Municipio,America/Puerto_Rico,,US,18.03,-66.86,0
703,STANDARD,Aguas Buenas,38,Aguas Buenas Municipio,America/Puerto_Rico,,US,18.25,-66.1,0
704,STANDARD,Aguirre,38,Salinas Municipio,America/Puerto_Rico,,US,17.96,-66.22,0
705,STANDARD,Aibonito,38,Aibonito Municipio,America/Puerto_Rico,,US,18.14,-66.26,0
707,STANDARD,Maunabo,38,Maunabo Municipio,America/Puerto_Rico,,US,18,-65.9,0
714,STANDARD,Arroyo,38,Arroyo Municipio,America/Puerto_Rico,,US,17.97,-66.06,0
715,STANDARD,Mercedita,38,Ponce Municipio,America/Puerto_Rico,,US,18.01,-66.56,0
716,STANDARD,Ponce,38,Ponce Municipio,America/Puerto_Rico,,US,17.98,-66.6,0
717,STANDARD,Ponce,38,Ponce Municipio,America/Puerto_Rico,,US,18,-66.61,0
718,STANDARD,Naguabo,38,Naguabo Municipio,America/Puerto_Rico,,US,18.21,-65.73,0
719,STANDARD,Naranjito,38,Naranjito Municipio,America/Puerto_Rico,,US,18.3,-66.24,0
720,STANDARD,Orocovis,38,Orocovis Municipio,America/Puerto_Rico,,US,18.22,-66.39,0
721,PO BOX,Palmer,38,,America/Puerto_Rico,,US,18.37,-65.77,0
723,STANDARD,Patillas,38,Patillas Municipio,America/Puerto_Rico,,US,18,-66.01,0
725,STANDARD,Caguas,38,Caguas Municipio,America/Puerto_Rico,,US,18.23,-66.03,0
726,PO BOX,Caguas,38,,America/Puerto_Rico,,US,18.23,-66.03,0
727,STANDARD,Caguas,38,Caguas Municipio,America/Puerto_Rico,,US,18.22,-66.07,0
728,STANDARD,Ponce,38,Ponce Municipio,America/Puerto_Rico,,US,17.99,-66.66,0
729,STANDARD,Canovanas,38,Canovanas Municipio,America/Puerto_Rico,,US,18.37,-65.9,0
730,STANDARD,Ponce,38,Ponce Municipio,America/Puerto_Rico,,US,18.03,-66.62,0
731,STANDARD,Ponce,38,Ponce Municipio,America/Puerto_Rico,,US,18.11,-66.63,0
732,PO BOX,Ponce,38,,America/Puerto_Rico,,US,17.98,-66.6,0
733,PO BOX,Ponce,38,,America/Puerto_Rico,,US,17.98,-66.6,0
734,PO BOX,Ponce,38,,America/Puerto_Rico,,US,17.98,-66.6,0
735,STANDARD,Ceiba,38,Ceiba Municipio,America/Puerto_Rico,,US,18.25,-65.68,0
736,STANDARD,Cayey,38,Cayey Municipio,America/Puerto_Rico,,US,18.11,-66.16,0
737,PO BOX,Cayey,38,,America/Puerto_Rico,,US,18.11,-66.16,0
738,STANDARD,Fajardo,38,Fajardo Municipio,America/Puerto_Rico,,US,18.33,-65.65,0
739,STANDARD,Cidra,38,Cidra Municipio,America/Puerto_Rico,,US,18.17,-66.15,0
740,STANDARD,Puerto Real,38,Fajardo Municipio,America/Puerto_Rico,,US,18.33,-65.63,0
741,STANDARD,Punta Santiago,38,Humacao Municipio,America/Puerto_Rico,,US,18.16,-65.75,0
742,PO BOX,Roosevelt Roads,38,,America/Puerto_Rico,,US,18.27,-65.65,0
744,PO BOX,Rio Blanco,38,,America/Puerto_Rico,,US,18.22,-65.79,0
745,STANDARD,Rio Grande,38,Rio Grande Municipio,America/Puerto_Rico,,US,18.38,-65.83,0
751,STANDARD,Salinas,38,Salinas Municipio,America/Puerto_Rico,,US,17.97,-66.29,0
754,STANDARD,San Lorenzo,38,San Lorenzo Municipio,America/Puerto_Rico,,US,18.19,-65.96,0
757,STANDARD,Santa Isabel,38,Santa Isabel Municipio,America/Puerto_Rico,,US,17.97,-66.4,0
765,STANDARD,Vieques,38,Vieques Municipio,America/Puerto_Rico,,US,18.13,-65.44,0
766,STANDARD,Villalba,38,Villalba Municipio,America/Puerto_Rico,,US,18.13,-66.48,0
767,STANDARD,Yabucoa,38,Yabucoa Municipio,America/Puerto_Rico,,US,18.04,-65.87,0
769,STANDARD,Coamo,38,Coamo Municipio,America/Puerto_Rico,,US,18.08,-66.36,0
771,STANDARD,Las Piedras,38,Las Piedras Municipio,America/Puerto_Rico,,US,18.18,-65.86,0
772,STANDARD,Loiza,38,Loiza Municipio,America/Puerto_Rico,,US,18.43,-65.88,0
773,STANDARD,Luquillo,38,Luquillo Municipio,America/Puerto_Rico,,US,18.37,-65.71,0
775,PO BOX,Culebra,38,Culebra Municipio,America/Puerto_Rico,,US,18.33,-65.3,0
777,STANDARD,Juncos,38,Juncos Municipio,America/Puerto_Rico,,US,18.22,-65.91,0
778,STANDARD,Gurabo,38,Gurabo Municipio,America/Puerto_Rico,,US,18.25,-65.97,0
780,STANDARD,Coto Laurel,38,Ponce Municipio,America/Puerto_Rico,,US,18.09,-66.57,0
782,STANDARD,Comerio,38,Comerio Municipio,America/Puerto_Rico,,US,18.22,-66.22,0
783,STANDARD,Corozal,38,Corozal Municipio,America/Puerto_Rico,,US,18.34,-66.31,0
784,STANDARD,Guayama,38,Guayama Municipio,America/Puerto_Rico,,US,17.97,-66.11,0
785,PO BOX,Guayama,38,,America/Puerto_Rico,,US,17.97,-66.11,0
786,PO BOX,La Plata,38,Aibonito Municipio,America/Puerto_Rico,,US,18.16,-66.23,0
791,STANDARD,Humacao,38,Humacao Municipio,America/Puerto_Rico,,US,18.15,-65.81,0
792,PO BOX,Humacao,38,,America/Puerto_Rico,,US,18.15,-65.81,0
794,STANDARD,Barranquitas,38,Barranquitas Municipio,America/Puerto_Rico,,US,18.18,-66.3,0
795,STANDARD,Juana Diaz,38,Juana Diaz Municipio,America/Puerto_Rico,,US,18.05,-66.5,0
801,PO BOX,St Thomas,48,,America/St_Thomas,,US,18.35,-64.93,0
802,STANDARD,St Thomas,48,,America/St_Thomas,,US,18.35,-64.93,0
803,PO BOX,St Thomas,48,,America/St_Thomas,,US,18.35,-64.93,0
804,PO BOX,St Thomas,48,,America/St_Thomas,,US,18.35,-64.93,0
805,PO BOX,St Thomas,48,,America/St_Thomas,,US,18.34,-64.93,0
820,STANDARD,Christiansted,48,,America/St_Thomas,,US,17.74,-64.7,0
821,PO BOX,Christiansted,48,,America/St_Thomas,,US,17.74,-64.7,0
822,PO BOX,Christiansted,48,,America/St_Thomas,,US,17.74,-64.7,0
823,PO BOX,Christiansted,48,,America/St_Thomas,,US,17.74,-64.7,0
824,PO BOX,Christiansted,48,,America/St_Thomas,,US,17.74,-64.7,0
830,STANDARD,St John,48,,America/St_Thomas,,US,18.33,-64.79,0
831,PO BOX,St John,48,,America/St_Thomas,,US,18.33,-64.79,0
840,STANDARD,Frederiksted,48,,America/St_Thomas,,US,17.71,-64.88,0
841,PO BOX,Frederiksted,48,,America/St_Thomas,,US,17.71,-64.88,0
850,STANDARD,Kingshill,48,,America/St_Thomas,,US,17.76,-64.82,0
851,PO BOX,Kingshill,48,,America/St_Thomas,,US,17.73,-64.8,0
901,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.47,-66.1,0
902,PO BOX,San Juan,38,,America/Puerto_Rico,,US,18.4,-66.06,0
906,PO BOX,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.46,-66.09,0
907,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.45,-66.08,0
908,PO BOX,San Juan,38,,America/Puerto_Rico,,US,18.4,-66.06,0
909,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.44,-66.07,0
910,PO BOX,San Juan,38,,America/Puerto_Rico,,US,18.4,-66.06,0
911,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.45,-66.06,0
912,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.45,-66.06,0
913,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.45,-66.04,0
914,PO BOX,San Juan,38,,America/Puerto_Rico,,US,18.4,-66.06,0
915,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.44,-66.05,0
916,PO BOX,San Juan,38,,America/Puerto_Rico,,US,18.4,-66.06,0
917,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.42,-66.05,0
918,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.42,-66.07,0
919,PO BOX,San Juan,38,,America/Puerto_Rico,,US,18.4,-66.06,0
920,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.41,-66.09,0
921,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.39,-66.09,0
922,PO BOX,San Juan,38,,America/Puerto_Rico,,US,18.4,-66.06,0
923,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.41,-66.04,0
924,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.4,-66.01,0
925,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.4,-66.05,0
926,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.35,-66.05,0
927,STANDARD,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.4,-66.06,0
928,PO BOX,San Juan,38,,America/Puerto_Rico,,US,18.4,-66.06,0
929,PO BOX,San Juan,38,San Juan,America/Puerto_Rico,,US,18.4,-66.06,0
930,PO BOX,San Juan,38,,America/Puerto_Rico,,US,18.4,-66.06,0
931,PO BOX,San Juan,38,San Juan,America/Puerto_Rico,,US,18.4,-66.06,0
933,PO BOX,San Juan,38,San Juan,America/Puerto_Rico,,US,18.4,-66.06,0
934,STANDARD,Fort Buchanan,38,Guaynabo Municipio,America/Puerto_Rico,,US,18.41,-66.12,0
935,UNIQUE,San Juan,38,San Juan,America/Puerto_Rico,,US,18.4,-66.06,0
936,PO BOX,San Juan,38,San Juan Municipio,America/Puerto_Rico,,US,18.4,-66.07,0
937,PO BOX,San Juan,38,San Juan,America/Puerto_Rico,,US,18.4,-66.06,0
939,UNIQUE,San Juan,38,San Juan,America/Puerto_Rico,,US,18.4,-66.06,0
940,PO BOX,San Juan,38,,America/Puerto_Rico,,US,18.4,-66.06,0
949,STANDARD,Toa Baja,38,Toa Baja Municipio,America/Puerto_Rico,,US,18.44,-66.25,0
950,PO BOX,Toa Baja,38,Dorado Municipio,America/Puerto_Rico,,US,18.46,-66.23,0
951,PO BOX,Toa Baja,38,Toa Baja Municipio,America/Puerto_Rico,,US,18.43,-66.25,0
952,STANDARD,Sabana Seca,38,Toa Baja Municipio,America/Puerto_Rico,,US,18.42,-66.19,0
953,STANDARD,Toa Alta,38,Toa Alta Municipio,America/Puerto_Rico,,US,18.39,-66.25,0
954,PO BOX,Toa Alta,38,Toa Alta,America/Puerto_Rico,,US,18.39,-66.25,0
955,PO BOX,San Juan,38,San Juan,America/Puerto_Rico,,US,18.4,-66.06,0
956,STANDARD,Bayamon,38,Bayamon Municipio,America/Puerto_Rico,,US,18.32,-66.17,0
957,STANDARD,Bayamon,38,Bayamon Municipio,America/Puerto_Rico,,US,18.37,-66.19,0
958,PO BOX,Bayamon,38,Bayamon,America/Puerto_Rico,,US,18.28,-66.13,0
959,STANDARD,Bayamon,38,Bayamon Municipio,America/Puerto_Rico,,US,18.39,-66.15,0
960,PO BOX,Bayamon,38,Bayamon Municipio,America/Puerto_Rico,,US,18.42,-66.15,0
961,STANDARD,Bayamon,38,Bayamon Municipio,America/Puerto_Rico,,US,18.41,-66.17,0
962,STANDARD,Catano,38,Catano Municipio,America/Puerto_Rico,,US,18.44,-66.15,0
963,PO BOX,Catano,38,Catano,America/Puerto_Rico,,US,18.43,-66.11,0
965,STANDARD,Guaynabo,38,Guaynabo Municipio,America/Puerto_Rico,,US,18.43,-66.11,0
966,STANDARD,Guaynabo,38,Guaynabo Municipio,America/Puerto_Rico,,US,18.4,-66.12,0
968,STANDARD,Guaynabo,38,Guaynabo Municipio,America/Puerto_Rico,,US,18.41,-66.1,0
969,STANDARD,Guaynabo,38,Guaynabo Municipio,America/Puerto_Rico,,US,18.38,-66.11,0
